date,date,last,open,high,low,vol,var_%,close
2021-11-11,2021-11-11,"64.806,7",64922.8,65583.3,64121.9,50.37,-0.19,64806.7
2021-11-12,2021-11-12,"64.134,5",64782.6,65449.7,62309.7,63.27,-1.04,64134.5
2021-11-13,2021-11-13,"64.398,6",64133.3,64906.0,63381.4,30.34,0.41,64398.6
2021-11-14,2021-11-14,"65.508,2",64397.2,65508.2,63608.3,33.98,1.72,65508.2
2021-11-15,2021-11-15,"63.597,9",65514.9,66311.2,63439.5,53.53,-2.92,63597.9
2021-11-16,2021-11-16,"60.089,1",63605.1,63605.6,58655.9,115.36,-5.52,60089.1
2021-11-17,2021-11-17,"60.367,8",60074.2,60814.5,58531.9,73.93,0.46,60367.8
2021-11-18,2021-11-18,"56.955,3",60368.2,60936.9,56524.4,100.37,-5.65,56955.3
2021-11-19,2021-11-19,"58.083,4",56908.3,58335.9,55626.3,74.44,1.98,58083.4
2021-11-20,2021-11-20,"59.717,6",58080.8,59854.6,57435.3,44.53,2.81,59717.6
2021-11-21,2021-11-21,"58.714,3",59724.0,60002.6,58528.3,40.98,-1.68,58714.3
2021-11-22,2021-11-22,"56.308,8",58719.7,59288.3,55656.8,76.45,-4.1,56308.8
2021-11-23,2021-11-23,"57.573,2",56304.8,57855.1,55542.5,72.48,2.25,57573.2
2021-11-24,2021-11-24,"57.171,7",57559.4,57697.4,55910.6,56.68,-0.7,57171.7
2021-11-25,2021-11-25,"58.935,1",57167.1,59387.3,57029.8,56.79,3.08,58935.1
2021-11-26,2021-11-26,"53.730,9",58937.3,59151.1,53533.5,104.03,-8.83,53730.9
2021-11-27,2021-11-27,"54.765,9",53747.2,55280.3,53654.3,40.71,1.93,54765.9
2021-11-28,2021-11-28,"57.291,5",54758.0,57392.3,53448.3,49.28,4.61,57291.5
2021-11-29,2021-11-29,"57.794,8",57288.1,58855.2,56726.7,58.65,0.88,57794.8
2021-11-30,2021-11-30,"56.882,9",57795.2,59174.4,55936.9,73.66,-1.58,56882.9
2021-12-01,2021-12-01,"57.210,3",56891.7,59064.3,56496.5,66.75,0.58,57210.3
2021-12-02,2021-12-02,"56.496,0",57207.8,57377.5,55807.9,54.94,-1.25,56496.0
2021-12-03,2021-12-03,"53.631,5",56495.2,57543.6,52008.9,89.2,-5.07,53631.5
